frequency,raw
20.0,-2.13
20.2,-2.1
20.4,-2.07
20.61,-2.05
20.81,-2.02
21.02,-1.99
21.23,-1.98
21.44,-1.97
21.66,-1.96
21.87,-1.96
22.09,-1.95
22.31,-1.95
22.54,-1.95
22.76,-1.95
22.99,-1.96
23.22,-1.96
23.45,-1.96
23.69,-1.96
23.92,-1.96
24.16,-1.95
24.4,-1.95
24.65,-1.96
24.89,-1.96
25.14,-1.96
25.39,-1.96
25.65,-1.96
25.91,-1.97
26.16,-1.97
26.43,-1.97
26.69,-1.97
26.96,-1.97
27.23,-1.97
27.5,-1.97
27.77,-1.98
28.05,-1.98
28.33,-1.99
28.62,-1.99
28.9,-1.99
29.19,-2.0
29.48,-1.99
29.78,-2.0
30.08,-2.0
30.38,-2.01
30.68,-2.01
30.99,-2.02
31.3,-2.02
31.61,-2.02
31.93,-2.03
32.24,-2.04
32.57,-2.04
32.89,-2.04
33.22,-2.05
33.55,-2.05
33.89,-2.06
34.23,-2.06
34.57,-2.07
34.92,-2.08
35.27,-2.08
35.62,-2.09
35.97,-2.1
36.33,-2.1
36.7,-2.11
37.06,-2.12
37.43,-2.12
37.81,-2.13
38.19,-2.14
38.57,-2.14
38.95,-2.15
39.34,-2.16
39.74,-2.17
40.14,-2.17
40.54,-2.18
40.94,-2.18
41.35,-2.19
41.76,-2.19
42.18,-2.19
42.6,-2.2
43.03,-2.2
43.46,-2.21
43.9,-2.23
44.33,-2.24
44.78,-2.25
45.23,-2.26
45.68,-2.27
46.13,-2.28
46.6,-2.28
47.06,-2.29
47.53,-2.3
48.01,-2.3
48.49,-2.32
48.97,-2.34
49.46,-2.36
49.96,-2.38
50.46,-2.38
50.96,-2.39
51.47,-2.41
51.99,-2.42
52.51,-2.42
53.03,-2.43
53.56,-2.44
54.1,-2.45
54.64,-2.46
55.18,-2.47
55.74,-2.48
56.29,-2.48
56.86,-2.49
57.42,-2.5
58.0,-2.5
58.58,-2.5
59.16,-2.5
59.76,-2.5
60.35,-2.51
60.96,-2.51
61.57,-2.53
62.18,-2.54
62.8,-2.54
63.43,-2.55
64.07,-2.55
64.71,-2.55
65.35,-2.55
66.01,-2.55
66.67,-2.55
67.33,-2.55
68.01,-2.55
68.69,-2.55
69.37,-2.55
70.07,-2.55
70.77,-2.54
71.48,-2.54
72.19,-2.54
72.91,-2.54
73.64,-2.54
74.38,-2.53
75.12,-2.53
75.87,-2.52
76.63,-2.51
77.4,-2.5
78.17,-2.5
78.95,-2.48
79.74,-2.47
80.54,-2.46
81.35,-2.45
82.16,-2.44
82.98,-2.42
83.81,-2.42
84.65,-2.41
85.5,-2.39
86.35,-2.38
87.22,-2.37
88.09,-2.36
88.97,-2.34
89.86,-2.33
90.76,-2.33
91.66,-2.31
92.58,-2.31
93.51,-2.29
94.44,-2.28
95.39,-2.27
96.34,-2.27
97.3,-2.26
98.28,-2.25
99.26,-2.24
100.25,-2.23
101.25,-2.22
102.27,-2.21
103.29,-2.21
104.32,-2.19
105.37,-2.18
106.42,-2.17
107.48,-2.16
108.56,-2.16
109.64,-2.15
110.74,-2.14
111.85,-2.13
112.97,-2.14
114.1,-2.13
115.24,-2.13
116.39,-2.13
117.55,-2.13
118.73,-2.13
119.92,-2.12
121.12,-2.12
122.33,-2.12
123.55,-2.11
124.79,-2.11
126.03,-2.11
127.29,-2.11
128.57,-2.12
129.85,-2.12
131.15,-2.12
132.46,-2.12
133.79,-2.11
135.12,-2.12
136.48,-2.11
137.84,-2.11
139.22,-2.12
140.61,-2.12
142.02,-2.1
143.44,-2.1
144.87,-2.1
146.32,-2.1
147.78,-2.09
149.26,-2.09
150.75,-2.1
152.26,-2.1
153.78,-2.1
155.32,-2.11
156.88,-2.11
158.44,-2.12
160.03,-2.13
161.63,-2.14
163.24,-2.15
164.88,-2.15
166.53,-2.16
168.19,-2.17
169.87,-2.18
171.57,-2.19
173.29,-2.2
175.02,-2.21
176.77,-2.23
178.54,-2.25
180.32,-2.26
182.13,-2.27
183.95,-2.29
185.79,-2.3
187.65,-2.32
189.52,-2.33
191.42,-2.34
193.33,-2.35
195.27,-2.36
197.22,-2.37
199.19,-2.39
201.18,-2.39
203.19,-2.39
205.23,-2.4
207.28,-2.39
209.35,-2.4
211.44,-2.41
213.56,-2.4
215.69,-2.39
217.85,-2.39
220.03,-2.39
222.23,-2.39
224.45,-2.37
226.7,-2.36
228.96,-2.35
231.25,-2.33
233.57,-2.32
235.9,-2.31
238.26,-2.3
240.64,-2.28
243.05,-2.26
245.48,-2.24
247.93,-2.22
250.41,-2.21
252.92,-2.18
255.45,-2.15
258.0,-2.13
260.58,-2.11
263.19,-2.08
265.82,-2.06
268.48,-2.03
271.16,-2.0
273.87,-1.98
276.61,-1.95
279.38,-1.93
282.17,-1.91
284.99,-1.88
287.84,-1.86
290.72,-1.83
293.63,-1.81
296.57,-1.78
299.53,-1.76
302.53,-1.74
305.55,-1.7
308.61,-1.68
311.69,-1.65
314.81,-1.61
317.96,-1.59
321.14,-1.57
324.35,-1.55
327.59,-1.52
330.87,-1.5
334.18,-1.48
337.52,-1.46
340.9,-1.43
344.3,-1.41
347.75,-1.39
351.23,-1.37
354.74,-1.35
358.28,-1.33
361.87,-1.31
365.49,-1.29
369.14,-1.28
372.83,-1.26
376.56,-1.25
380.33,-1.22
384.13,-1.21
387.97,-1.2
391.85,-1.19
395.77,-1.17
399.73,-1.16
403.72,-1.15
407.76,-1.14
411.84,-1.12
415.96,-1.11
420.12,-1.1
424.32,-1.09
428.56,-1.08
432.85,-1.07
437.18,-1.06
441.55,-1.04
445.96,-1.03
450.42,-1.02
454.93,-1.0
459.48,-0.99
464.07,-0.97
468.71,-0.95
473.4,-0.94
478.13,-0.92
482.91,-0.91
487.74,-0.89
492.62,-0.87
497.55,-0.86
502.52,-0.84
507.55,-0.83
512.62,-0.81
517.75,-0.79
522.93,-0.77
528.16,-0.76
533.44,-0.74
538.77,-0.72
544.16,-0.7
549.6,-0.68
555.1,-0.67
560.65,-0.65
566.25,-0.63
571.92,-0.62
577.64,-0.61
583.41,-0.59
589.25,-0.57
595.14,-0.55
601.09,-0.54
607.1,-0.52
613.17,-0.5
619.3,-0.48
625.5,-0.46
631.75,-0.45
638.07,-0.43
644.45,-0.42
650.89,-0.4
657.4,-0.39
663.98,-0.37
670.62,-0.36
677.32,-0.35
684.1,-0.34
690.94,-0.32
697.85,-0.31
704.83,-0.3
711.87,-0.29
718.99,-0.28
726.18,-0.27
733.44,-0.26
740.78,-0.24
748.19,-0.23
755.67,-0.23
763.23,-0.22
770.86,-0.21
778.57,-0.2
786.35,-0.19
794.22,-0.19
802.16,-0.18
810.18,-0.17
818.28,-0.17
826.46,-0.16
834.73,-0.16
843.08,-0.15
851.51,-0.15
860.02,-0.14
868.62,-0.14
877.31,-0.13
886.08,-0.12
894.94,-0.11
903.89,-0.11
912.93,-0.1
922.06,-0.09
931.28,-0.09
940.59,-0.08
950.0,-0.07
959.5,-0.06
969.09,-0.04
978.78,-0.03
988.57,-0.02
998.46,-0.0
1008.44,0.014111964210115782
1018.53,0.028223928420231564
1028.71,0.042335892630347344
1039.0,0.05644785684046313
1049.39,0.07055982105057891
1059.88,0.08467178526069469
1070.48,0.10583973157586836
1081.19,0.12700767789104203
1092.0,0.1481756242062157
1102.92,0.16934357052138937
1113.95,0.19051151683656306
1125.09,0.21873544525679461
1136.34,0.24695937367702617
1147.7,0.28223928420231564
1159.18,0.3104632126225472
1170.77,0.33868714104277875
1182.48,0.37396705156806825
1194.3,0.40924696209335765
1206.25,0.44452687261864715
1218.31,0.4868627652489944
1230.49,0.5221426757742839
1242.8,0.5574225862995734
1255.22,0.5997584789299207
1267.78,0.642094371560268
1280.45,0.6844302641906154
1293.26,0.7338221389260207
1306.19,0.7761580315563681
1319.25,0.8255499062917732
1332.45,0.8749417810271785
1345.77,0.9243336557625838
1359.23,0.9737255304979888
1372.82,1.030173387338452
1386.55,1.0795652620738574
1400.41,1.1289571368092626
1414.42,1.1783490115446678
1428.56,1.234796868385131
1442.85,1.284188743120536
1457.28,1.3335806178559413
1471.85,1.3829724925913465
1486.57,1.4323643673267517
1501.43,1.4888122241672148
1516.45,1.5523160631127362
1531.61,1.608763919953199
1546.93,1.6722677588987203
1562.4,1.7357715978442412
1578.02,1.799275436789762
1593.8,1.8557232936302253
1609.74,1.9262831146808042
1625.84,1.996842935731383
1642.1,2.067402756781962
1658.52,2.145018559937599
1675.1,2.2155783809881777
1691.85,2.2861382020387566
1708.77,2.3637540051943935
1725.86,2.4413698083500304
1743.12,2.526041593610725
1760.55,2.6036573967663617
1778.15,2.6883291820270565
1795.94,2.765944985182693
1813.9,2.850616770443388
1832.03,2.9352885557040826
1850.36,3.027016323069835
1868.86,3.11168810833053
1887.55,3.1963598935912247
1906.42,3.2810316788519196
1925.49,3.372759446217672
1944.74,3.4644872135834244
1964.19,3.556214980949177
1983.83,3.6408867662098716
2003.67,3.7326145335756244
2023.71,3.803174354626203
2043.94,3.8807901577818398
2064.38,3.958405960937477
2085.03,4.028965781988056
2105.88,4.106581585143693
2126.94,4.177141406194271
2148.2,4.254757209349909
2169.69,4.325317030400487
2191.38,4.395876851451066
2213.3,4.466436672501645
2235.43,4.544052475657282
2257.78,4.61461229670786
2280.36,4.678116135653381
2303.17,4.748675956703961
2326.2,4.81923577775454
2349.46,4.889795598805118
2372.95,4.946243455645582
2396.68,5.002691312486045
2420.65,5.05208318722145
2444.86,5.108531044061913
2469.31,5.157922918797318
2494.0,5.214370775637781
2518.94,5.263762650373186
2544.13,5.306098543003533
2569.57,5.348434435633881
2595.27,5.397826310369287
2621.22,5.440162202999634
2647.43,5.482498095629981
2673.9,5.524833988260329
2700.64,5.560113898785618
2727.65,5.602449791415966
2754.93,5.637729701941255
2782.48,5.673009612466544
2810.3,5.708289522991834
2838.4,5.7365134514120655
2866.79,5.757681397727239
2895.46,5.7859053261474696
2924.41,5.807073272462644
2953.65,5.828241218777817
2983.19,5.85646514719805
3013.02,5.877633093513223
3043.15,5.905857021933454
3073.58,5.927024968248628
3104.32,5.955248896668859
3135.36,5.976416842984034
3166.72,5.997584789299207
3198.38,6.004640771404265
3230.37,6.01875273561438
3262.67,6.025808717719438
3295.3,6.039920681929555
3328.25,6.046976664034613
3361.53,6.05403264613967
3395.15,6.05403264613967
3429.1,6.05403264613967
3463.39,6.046976664034613
3498.03,6.046976664034613
3533.01,6.046976664034613
3568.34,6.039920681929555
3604.02,6.01875273561438
3640.06,6.004640771404265
3676.46,5.990528807194149
3713.22,5.969360860878976
3750.36,5.955248896668859
3787.86,5.927024968248628
3825.74,5.898801039828396
3864.0,5.870577111408165
3902.64,5.842353182987933
3941.66,5.82118523667276
3981.08,5.792961308252529
4020.89,5.757681397727239
4061.1,5.7153455050968915
4101.71,5.673009612466544
4142.73,5.637729701941255
4184.15,5.595393809310907
4226.0,5.55305791668056
4268.26,5.510722024050213
4310.94,5.45427416720975
4354.05,5.397826310369287
4397.59,5.348434435633881
4441.56,5.291986578793418
4485.98,5.235538721952955
4530.84,5.179090865112491
4576.15,5.1155870261669705
4621.91,5.0591391693265075
4668.13,4.995635330380987
4714.81,4.932131491435466
4761.96,4.875683634595003
4809.58,4.805123813544423
4857.67,4.741619974598902
4906.25,4.678116135653381
4955.31,4.607556314602803
5004.87,4.544052475657282
5054.91,4.487604618816818
5105.46,4.431156761976355
5156.52,4.3817648872409505
5208.08,4.325317030400487
5260.16,4.268869173560024
5312.77,4.212421316719561
5365.89,4.155973459879098
5419.55,4.099525603038634
5473.75,4.050133728303229
5528.49,3.993685871462766
5583.77,3.937238014622303
5639.61,3.8949021219919553
5696.0,3.8455102472565508
5752.96,3.803174354626203
5810.49,3.760838461995856
5868.6,3.718502569365508
5927.28,3.676166676735161
5986.56,3.6267748019997557
6046.42,3.5703269451592923
6106.89,3.5068231062137714
6167.96,3.4433192672682504
6229.64,3.3798154283227295
6291.93,3.3163115893772086
6354.85,3.2598637325367457
6418.4,3.2034158756962823
6482.58,3.154024000960877
6547.41,3.097576144120414
6612.88,3.0411282872799505
6679.01,2.984680430439488
6745.8,2.928232573599025
6813.26,2.8647287346535033
