frequency,raw
20.0,1.371437221591478
20.2,1.4014372215914772
20.4,1.431437221591478
20.61,1.4514372215914773
20.81,1.4814372215914784
21.02,1.5114372215914782
21.23,1.5214372215914782
21.44,1.5314372215914764
21.66,1.5414372215914784
21.87,1.5414372215914784
22.09,1.551437221591478
22.31,1.551437221591478
22.54,1.551437221591478
22.76,1.551437221591478
22.99,1.5414372215914784
23.22,1.5414372215914784
23.45,1.5414372215914784
23.69,1.5414372215914784
23.92,1.5414372215914784
24.16,1.5447796691597568
24.4,1.5447796691597568
24.65,1.5347796691597562
24.89,1.5347796691597562
25.14,1.5347796691597562
25.39,1.5347796691597562
25.65,1.5347796691597562
25.91,1.5247796691597566
26.16,1.5247796691597566
26.43,1.5247796691597566
26.69,1.5247796691597566
26.96,1.5247796691597566
27.23,1.5181246791327163
27.5,1.5181246791327163
27.77,1.5081246791327152
28.05,1.5081246791327152
28.33,1.498124679132715
28.62,1.498124679132715
28.9,1.498124679132715
29.19,1.488124679132715
29.48,1.4914722524870092
29.78,1.4814722524870083
30.08,1.4814722524870083
30.38,1.471472252487008
30.68,1.471472252487008
30.99,1.4614722524870087
31.3,1.4548223901981507
31.61,1.4548223901981507
31.93,1.4448223901981507
32.24,1.4348223901981507
32.57,1.4348223901981507
32.89,1.4281750932405126
33.22,1.418175093240512
33.55,1.418175093240512
33.89,1.4081750932405113
34.23,1.4015303625873203
34.57,1.3915303625873188
34.92,1.3815303625873194
35.27,1.3748881992106492
35.62,1.3648881992106496
35.97,1.3548881992106492
36.33,1.348248604081428
36.7,1.3382486040814283
37.06,1.3282486040814288
37.43,1.3216115781694318
37.81,1.3116115781694335
38.19,1.3016115781694324
38.57,1.294977122443285
38.95,1.284977122443283
39.34,1.2683452378704452
39.74,1.258345237870445
40.14,1.2517159254172214
40.54,1.2417159254172214
40.94,1.235089186048761
41.35,1.2250891860487607
41.76,1.218465020729045
42.18,1.2118434304208878
42.6,1.2018434304208871
43.03,1.1952244160859422
43.46,1.1786079786846904
43.9,1.15860797868469
44.33,1.141994119176436
44.78,1.1253828385193207
45.23,1.108774137670301
45.68,1.0987741376703004
46.13,1.0821680175851571
46.6,1.0755644792184953
47.06,1.058963523523731
47.53,1.0423651514531005
48.01,1.0357693639576544
48.49,1.009176161987251
48.97,0.9825855464905592
49.46,0.9559975184150564
49.96,0.929412078707024
50.46,0.9162489681725082
50.96,0.8996712992325937
51.47,0.8730962224332818
51.99,0.85652373871485
52.51,0.8433865542756767
53.03,0.8268218554294361
53.56,0.8037002491608047
54.1,0.7871433436056223
54.64,0.7640373323124019
55.18,0.7474882284342453
55.74,0.724397828855349
56.29,0.7113178463526684
56.86,0.6947817638151559
57.42,0.6717174207774708
58.0,0.6586635132546724
58.58,0.6456200485874666
59.16,0.632587034096599
59.76,0.6195644770827795
60.35,0.5965523848266212
60.96,0.5770538837397008
61.57,0.5440679850978879
62.18,0.5210925765366516
62.8,0.5016491483169928
63.43,0.478699996365827
64.07,0.4592959865771498
64.71,0.4463731358488065
65.35,0.4270086111683827
66.01,0.4076678093557592
66.67,0.3883507541339204
67.33,0.3690574691195977
68.01,0.349787977822787
68.69,0.3305423036462419
69.37,0.3113204698849925
70.07,0.2921224997258612
70.77,0.2765623672115819
71.48,0.2574201683501613
72.19,0.2319344806250312
72.91,0.2128481773166818
73.64,0.1874370991197954
74.38,0.172068728179499
75.12,0.1467431173193019
75.87,0.1314603190065239
76.63,0.1162203853502986
77.4,0.1010233680996051
78.17,0.0758693186412962
78.95,0.0644872579716122
79.74,0.0494300720403175
80.54,0.0281692502352008
81.35,0.0132091819471855
82.16,-0.0079300859859403
82.98,-0.0190016898319994
83.81,-0.0438101911216945
84.65,-0.0647597616830408
85.5,-0.0756414054393846
86.35,-0.0964550303355955
87.22,-0.1172005452585234
88.09,-0.1378778600425523
88.97,-0.1546004880561379
89.86,-0.1751274498562297
90.76,-0.2055859294186477
91.66,-0.2220455871424012
92.58,-0.2523531039908727
